"url","pic_url","name","time","career","printdate","onlinedate","abstract"
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001252?rskey=R3pmmL&result=1580","/cover/searchableMedia/anb-9780198606697-e-5001252-graphic-1-thumbnail.jpg","Kemble, Fanny","1809-1893","author and actress","1999","1999","Fanny Kemble. Photograph of a painting by Thomas Sully. Courtesy of the Library of Congress (LC-USZ62-112016)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000170?rskey=xuofag&result=1581","/cover/searchableMedia/anb-9780198606697-e-5000170-graphic-1-thumbnail.jpg","Kemper, James Lawson","1823-1895","Confederate general and governor of Virginia","1999","1999","James Lawson Kemper. Illustration in Harper's Weekly, 17 January 1874. Courtesy of the Library of Congress (LC-USZ62-101495)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000069?rskey=xuofag&result=1582","/cover/searchableMedia/anb-9780198606697-e-5000069-graphic-1-thumbnail.jpg","Kendall, Amos","1789-1869","journalist, postmaster general, and business agent","1999","1999","Amos Kendall. Daguerreotype from the studio of  Mathew B. Brady. Courtesy of the Library of Congress (LC-USZ62-109899)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005901?rskey=xuofag&result=1583","/cover/searchableMedia/anb-9780198606697-e-5005901-graphic-1-thumbnail.jpg","Kennan, George F.","16 February 1904–17 March 2005)","","","","George F. Kennan. George Kennan, former ambassador to the Soviet Union, head-and-shoulders portrait, facing left, testifying in front of the U.S. Senate Foreign Relations Committee. Feb. 10 1966. Photograph by Warren K. Leffler. Courtesy of the Library of Congress (LC-DIG-ds-07025)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005322?rskey=xuofag&result=1584","/cover/searchableMedia/anb-9780198606697-e-5005322-graphic-1-thumbnail.jpg","Kennedy, Edward Moore","Ted)","22 February 1932–25 August 2009","","","Edward Moore (Ted) Kennedy. Acrylic on canvas, 1962, by René Robert Bouché. National Portrait Gallery, Smithsonian Institution; gift of Time magazine."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000910?rskey=xuofag&result=1585","/cover/searchableMedia/anb-9780198606697-e-5000910-graphic-1-thumbnail.jpg","Kennedy, John Alexander","1803-1873","immigration official and police superintendent","1999","1999","John Alexander Kennedy. Daguerreotype from the studio of  Mathew B. Brady. Courtesy of the Library of Congress (LC-USZ62-109831)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000524?rskey=xuofag&result=1586","/cover/searchableMedia/anb-9780198606697-e-5000524-graphic-1-thumbnail.jpg","Kennedy, John Fitzgerald","29 May 1917–22 November 1963","thirty-fifth president of the United States","1999","1999","John F. Kennedy.  Courtesy of the Library of Congress (LC-USZ62-117124 DLC)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002022?rskey=xuofag&result=1587","/cover/searchableMedia/anb-9780198606697-e-5002022-graphic-1-thumbnail.jpg","Kennedy, Robert Francis","20 November 1925–06 June 1968","politician","1999","1999","Robert F. Kennedy.  Courtesy of the Library of Congress (LC-USZ61-1866)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002279?rskey=xuofag&result=1588","/cover/searchableMedia/anb-9780198606697-e-5002279-graphic-1-thumbnail.jpg","Kennedy, Robert Francis","20 November 1925–06 June 1968","politician","1999","1999","Robert F. Kennedy Speaking at the University of Mississippi, 1966. Courtesy of Library of Congress (LC-USZ62-111226)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000806?rskey=xuofag&result=1589","/cover/searchableMedia/anb-9780198606697-e-5000806-graphic-1-thumbnail.jpg","Kent, Atwater","1873-1949","inventor and manufacturer","1999","1999","Atwater Kent. Standing by radio in the Hamilton Hotel, Washington, DC.   Courtesy of the Library of Congress (LC-USZ62-109738)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000715?rskey=xuofag&result=1590","/cover/searchableMedia/anb-9780198606697-e-5000715-graphic-1-thumbnail.jpg","Kent, James","1763-1847","jurist","1999","1999","James Kent. Engraving from a painting by Alonzo Chappel. Courtesy of the Library of Congress (LC-USZ62-93369)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001171?rskey=h3wgzK&result=1591","/cover/searchableMedia/anb-9780198606697-e-5001171-graphic-1-thumbnail.jpg","Kent, Rockwell","1882-1971","artist","1999","1999","Rockwell Kent Photograph by Carl Van Vechten, 1933. Courtesy of the Library of Congress (LC-USZ62-42519)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002423?rskey=h3wgzK&result=1592","/cover/searchableMedia/anb-9780198606697-e-5002423-graphic-1-thumbnail.jpg","Kenton, Stan","1911-1979","jazz musician","1999","1999","Stan Kenton, c. 1947-1948. Left, with Eddie Safranski. © William P. Gottlieb; used by permission.  William P. Gottlieb Collection, Library of Congress (LC-GLB13-0486 DLC)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005339?rskey=h3wgzK&result=1593","/cover/searchableMedia/anb-9780198606697-e-5005339-graphic-1-thumbnail.jpg","Keokuk","1790-1848","Sauk","1999","1999","Keokuk. Hand-colored lithograph on paper, 1844, by Unidentified Artist (after James Otto Lewis). National Portrait Gallery, Smithsonian Institution."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000525?rskey=h3wgzK&result=1594","/cover/searchableMedia/anb-9780198606697-e-5000525-graphic-1-thumbnail.jpg","Kerr, Robert Samuel","1896-1963","oil executive and politician","1999","1999","Robert S. Kerr Photograph by Mary Dean, 1954. Courtesy of the Library of Congress (LC-USZ62-114948)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003625?rskey=h3wgzK&result=1595","/cover/searchableMedia/anb-9780198606697-e-5003625-graphic-1-thumbnail.jpg","Kerr, Walter","1913-1996","theater critic","","","Walter Kerr.  Courtesy of the Northwestern University Archives."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002466?rskey=h3wgzK&result=1596","/cover/searchableMedia/anb-9780198606697-e-5002466-graphic-1-thumbnail.jpg","Kersey, Kenny","1916-1983","jazz pianist","1999","1999","Kenny Kersey  © William P. Gottlieb; used by permission.  William P. Gottlieb Collection, Library of Congress (LC-GLB23-0535 DLC)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005114?rskey=h3wgzK&result=1597","/cover/searchableMedia/anb-9780198606697-e-5005114-graphic-1-thumbnail.jpg","Kettering, Charles Franklin","1876-1958","inventor and automotive engineer","1999","1999","Charles Franklin Kettering. Oil on canvas. National Portrait Gallery, Smithsonian Institution; this acquisition was made possible by a generous contribution from the James Smithson Society."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000297?rskey=h3wgzK&result=1598","/cover/searchableMedia/anb-9780198606697-e-5000297-graphic-1-thumbnail.jpg","Keyes, Erasmus Darwin","1810-1895","soldier and businessman","1999","1999","Erasmus D. Keyes.  Courtesy of the Library of Congress (LC-B8172-1634)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003465?rskey=h3wgzK&result=1599","/cover/searchableMedia/anb-9780198606697-e-5003465-graphic-1-thumbnail.jpg","Keyser, Louisa","1850-1925","Washoe basket weaver","","","Louisa Keyser. With her baskets entitled ""Light Reflected"" (left) and ""Hunting Game in a Proscribed District.""  Courtesy of the State of Nevada Department of Cultural Affairs (Eth-88)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002903?rskey=h3wgzK&result=1600","/cover/searchableMedia/anb-9780198606697-e-5002903-graphic-1-thumbnail.jpg","Kicking Bear","1852?–1904","Native American religious leader","1999","1999","Kicking Bear.  Courtesy of the Nebraska State Historical Society."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001516?rskey=LwfqVU&result=1601","/cover/searchableMedia/anb-9780198606697-e-5001516-graphic-1-thumbnail.jpg","Kidd, William","1645-1701","pirate","1999","1999","William Kidd. Hanging in chains.  Engraving, 1924. Courtesy of the Library of Congress (LC-USZ62-95356)."
